now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
425.73,c330,Arrive (Q_B),"[c321, c323]","[c329, c330]",[c328],Free,Free,"(c327, End=427.5)",,,
427.48,c331,Arrive (Q_C),"[c321, c323]","[c329, c330]","[c328, c331]",Free,Free,"(c327, End=427.5)",,,
427.53,c328,start_desk_C,"[c321, c323]","[c329, c330]",[c331],Free,Free,"(c328, End=430.2)",2.19,,
427.53,c327,leave,"[c321, c323]","[c329, c330]",[c331],Free,Free,Free,,c327,
427.64,c332,Arrive (Q_B),"[c321, c323]","[c329, c330, c332]",[c331],Free,Free,Free,,,
429.46,c333,Arrive (Q_B),"[c321, c323]","[c329, c330, c332, c333]",[c331],Free,Free,Free,,,
430.17,c331,start_desk_C,"[c321, c323]","[c329, c330, c332, c333]",[],Free,Free,"(c331, End=434.1)",2.69,,
430.17,c333,Switch B->C,"[c321, c323]","[c329, c330, c332]",[c333],Free,Free,"(c331, End=434.1)",,,
430.17,c328,leave,"[c321, c323]","[c329, c330, c332]",[c333],Free,Free,Free,,c328,
430.25,c330,start_desk_B,"[c321, c323]","[c329, c332]",[c333],Free,"(c330, End=435.7)",Free,4.52,,
430.25,c326,leave,"[c321, c323]","[c329, c332]",[c333],Free,Free,Free,,c326,
431.11,c334,Arrive (Q_B),"[c321, c323]","[c329, c332, c334]",[c333],Free,Free,Free,,,
432.64,c332,Resign (Dynamic Q_B),"[c321, c323]","[c329, c334]",[c333],Free,Free,Free,,,c332
432.97,c321,start_desk_A,[c323],"[c329, c334]",[c333],"(c321, End=435.4)",Free,Free,17.55,,
432.97,c320,leave,[c323],"[c329, c334]",[c333],Free,Free,Free,,c320,
433.65,c335,Arrive (Q_C),[c323],"[c329, c334]","[c333, c335]",Free,Free,Free,,,
434.10,c329,start_desk_C,[c323],[c334],"[c333, c335]",Free,Free,"(c329, End=435.5)",8.57,,
434.10,c331,leave,[c323],[c334],"[c333, c335]",Free,Free,Free,,c331,
434.16,c336,Arrive (Q_C),[c323],[c334],"[c333, c335, c336]",Free,Free,Free,,,
435.45,c323,start_desk_A,[],[c334],"[c333, c335, c336]","(c323, End=436.5)",Free,Free,17.41,,
435.45,c321,leave,[],[c334],"[c333, c335, c336]",Free,Free,Free,,c321,
435.49,c335,start_desk_C,[],[c334],"[c333, c336]",Free,Free,"(c335, End=439.5)",1.84,,
435.49,c329,leave,[],[c334],"[c333, c336]",Free,Free,Free,,c329,
435.70,c333,start_desk_B,[],[c334],[c336],Free,"(c333, End=437.8)",Free,6.24,,
435.70,c330,leave,[],[c334],[c336],Free,Free,Free,,c330,
435.77,c337,Arrive (Q_B),[],"[c334, c337]",[c336],Free,Free,Free,,,
436.48,c338,Arrive (Q_C),[],"[c334, c337]","[c336, c338]",Free,Free,Free,,,
436.49,c337,start_desk_A,[],[c334],"[c336, c338]","(c337, End=440.6)",Free,Free,0.72,,
436.49,c323,leave,[],[c334],"[c336, c338]",Free,Free,Free,,c323,
437.49,c339,Arrive (Q_C),[],[c334],"[c336, c338, c339]",Free,Free,Free,,,
437.80,c334,start_desk_B,[],[],"[c336, c338, c339]",Free,"(c334, End=441.9)",Free,6.69,,
437.80,c333,leave,[],[],"[c336, c338, c339]",Free,Free,Free,,c333,
437.88,c340,Arrive (Q_B),[],[c340],"[c336, c338, c339]",Free,Free,Free,,,
439.46,c336,start_desk_C,[],[c340],"[c338, c339]",Free,Free,"(c336, End=442.2)",5.30,,
439.46,c335,leave,[],[c340],"[c338, c339]",Free,Free,Free,,c335,
439.50,c341,Arrive (Q_B),[],"[c340, c341]","[c338, c339]",Free,Free,Free,,,
440.48,c342,Arrive (Q_C),[],"[c340, c341]","[c338, c339, c342]",Free,Free,Free,,,
440.59,c337,leave,[],"[c340, c341]","[c338, c339, c342]",Free,Free,Free,,c337,
441.48,c338,Resign (Dynamic Q_C),[],"[c340, c341]","[c339, c342]",Free,Free,Free,,,c338
441.87,c343,Arrive (Q_B),[],"[c340, c341, c343]","[c339, c342]",Free,Free,Free,,,
441.89,c340,start_desk_B,[],"[c341, c343]","[c339, c342]",Free,"(c340, End=444.6)",Free,4.02,,
441.89,c334,leave,[],"[c341, c343]","[c339, c342]",Free,Free,Free,,c334,
442.16,c339,start_desk_C,[],"[c341, c343]",[c342],Free,Free,"(c339, End=444.6)",4.67,,
442.16,c336,leave,[],"[c341, c343]",[c342],Free,Free,Free,,c336,
444.28,c344,Arrive (Q_C),[],"[c341, c343]","[c342, c344]",Free,Free,Free,,,
444.57,c342,start_desk_C,[],"[c341, c343]",[c344],Free,Free,"(c342, End=448.2)",4.09,,
444.57,c339,leave,[],"[c341, c343]",[c344],Free,Free,Free,,c339,
444.63,c341,start_desk_B,[],[c343],[c344],Free,"(c341, End=449.2)",Free,5.13,,
444.63,c340,leave,[],[c343],[c344],Free,Free,Free,,c340,
444.88,c345,Arrive (Q_C),[],[c343],"[c344, c345]",Free,Free,Free,,,
445.06,c346,Arrive (Q_C),[],[c343],"[c344, c345, c346]",Free,Free,Free,,,
447.06,c347,Arrive (Q_B),[],"[c343, c347]","[c344, c345, c346]",Free,Free,Free,,,
448.22,c344,start_desk_C,[],"[c343, c347]","[c345, c346]",Free,Free,"(c344, End=450.7)",3.94,,
448.22,c342,leave,[],"[c343, c347]","[c345, c346]",Free,Free,Free,,c342,
448.86,c348,Arrive (Q_C),[],"[c343, c347]","[c345, c346, c348]",Free,Free,Free,,,
449.23,c343,start_desk_B,[],[c347],"[c345, c346, c348]",Free,"(c343, End=455.1)",Free,7.36,,
449.23,c341,leave,[],[c347],"[c345, c346, c348]",Free,Free,Free,,c341,
450.62,c349,Arrive (Q_C),[],[c347],"[c345, c346, c348, c349]",Free,Free,Free,,,
450.74,c345,start_desk_C,[],[c347],"[c346, c348, c349]",Free,Free,"(c345, End=454.0)",5.86,,
450.74,c344,leave,[],[c347],"[c346, c348, c349]",Free,Free,Free,,c344,
451.39,c350,Arrive (Q_C),[],[c347],"[c346, c348, c349, c350]",Free,Free,Free,,,
451.50,c351,Arrive (Q_A),[c351],[c347],"[c346, c348, c349, c350]",Free,Free,Free,,,
451.50,c351,start_desk_A,[],[c347],"[c346, c348, c349, c350]","(c351, End=451.8)",Free,Free,0.00,,
451.77,c351,leave,[],[c347],"[c346, c348, c349, c350]",Free,Free,Free,,c351,
453.60,c352,Arrive (Q_A),[c352],[c347],"[c346, c348, c349, c350]",Free,Free,Free,,,
453.60,c352,start_desk_A,[],[c347],"[c346, c348, c349, c350]","(c352, End=463.1)",Free,Free,0.00,,
454.01,c346,start_desk_C,[],[c347],"[c348, c349, c350]","(c352, End=463.1)",Free,"(c346, End=456.4)",8.95,,
454.01,c345,leave,[],[c347],"[c348, c349, c350]","(c352, End=463.1)",Free,Free,,c345,
454.75,c353,Arrive (Q_A),[c353],[c347],"[c348, c349, c350]","(c352, End=463.1)",Free,Free,,,
454.98,c354,Arrive (Q_C),[c353],[c347],"[c348, c349, c350, c354]","(c352, End=463.1)",Free,Free,,,
455.03,c355,Arrive (Q_C),[c353],[c347],"[c348, c349, c350, c354, c355]","(c352, End=463.1)",Free,Free,,,
455.12,c347,start_desk_B,[c353],[],"[c348, c349, c350, c354, c355]","(c352, End=463.1)","(c347, End=460.3)",Free,8.06,,
455.12,c343,leave,[c353],[],"[c348, c349, c350, c354, c355]","(c352, End=463.1)",Free,Free,,c343,
455.52,c356,Arrive (Q_A),"[c353, c356]",[],"[c348, c349, c350, c354, c355]","(c352, End=463.1)",Free,Free,,,
456.40,c357,Arrive (Q_C),"[c353, c356]",[],"[c348, c349, c350, c354, c355, c357]","(c352, End=463.1)",Free,Free,,,
456.40,c348,start_desk_C,"[c353, c356]",[],"[c349, c350, c354, c355, c357]","(c352, End=463.1)",Free,"(c348, End=459.2)",7.54,,
456.40,c346,leave,"[c353, c356]",[],"[c349, c350, c354, c355, c357]","(c352, End=463.1)",Free,Free,,c346,
456.56,c358,Arrive (Q_C),"[c353, c356]",[],"[c349, c350, c354, c355, c357, c358]","(c352, End=463.1)",Free,Free,,,
459.17,c359,Arrive (Q_C),"[c353, c356]",[],"[c349, c350, c354, c355, c357, c358, c359]","(c352, End=463.1)",Free,Free,,,
459.19,c349,start_desk_C,"[c353, c356]",[],"[c350, c354, c355, c357, c358, c359]","(c352, End=463.1)",Free,"(c349, End=462.8)",8.57,,
459.19,c348,leave,"[c353, c356]",[],"[c350, c354, c355, c357, c358, c359]","(c352, End=463.1)",Free,Free,,c348,
459.53,c360,Arrive (Q_B),"[c353, c356]",[c360],"[c350, c354, c355, c357, c358, c359]","(c352, End=463.1)",Free,Free,,,
460.21,c361,Arrive (Q_C),"[c353, c356]",[c360],"[c350, c354, c355, c357, c358, c359, c361]","(c352, End=463.1)",Free,Free,,,
460.29,c360,start_desk_B,"[c353, c356]",[],"[c350, c354, c355, c357, c358, c359, c361]","(c352, End=463.1)","(c360, End=463.4)",Free,0.76,,
460.29,c347,leave,"[c353, c356]",[],"[c350, c354, c355, c357, c358, c359, c361]","(c352, End=463.1)",Free,Free,,c347,
461.40,c357,Resign (Dynamic Q_C),"[c353, c356]",[],"[c350, c354, c355, c358, c359, c361]","(c352, End=463.1)",Free,Free,,,c357
462.11,c362,Arrive (Q_C),"[c353, c356]",[],"[c350, c354, c355, c358, c359, c361, c362]","(c352, End=463.1)",Free,Free,,,
462.84,c350,start_desk_C,"[c353, c356]",[],"[c354, c355, c358, c359, c361, c362]","(c352, End=463.1)",Free,"(c350, End=466.4)",11.46,,
462.84,c349,leave,"[c353, c356]",[],"[c354, c355, c358, c359, c361, c362]","(c352, End=463.1)",Free,Free,,c349,
463.13,c353,start_desk_A,[c356],[],"[c354, c355, c358, c359, c361, c362]","(c353, End=469.3)",Free,Free,8.38,,
463.13,c352,leave,[c356],[],"[c354, c355, c358, c359, c361, c362]",Free,Free,Free,,c352,
463.35,c360,leave,[c356],[],"[c354, c355, c358, c359, c361, c362]",Free,Free,Free,,c360,
463.53,c363,Arrive (Q_C),[c356],[],"[c354, c355, c358, c359, c361, c362, c363]",Free,Free,Free,,,
466.25,c364,Arrive (Q_C),[c356],[],"[c354, c355, c358, c359, c361, c362, c363, c364]",Free,Free,Free,,,
