now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
36.87,c24,start_desk_A,[c25],"[c22, c26]",[],"(c24, End=39.5)",Free,"(c27, End=38.0)",3.31,,
36.87,c23,leave,[c25],"[c22, c26]",[],Free,Free,"(c27, End=38.0)",,c23,
37.87,c28,Arrive (Q_B),[c25],"[c22, c26, c28]",[],Free,Free,"(c27, End=38.0)",,,
37.99,c27,leave,[c25],"[c22, c26, c28]",[],Free,Free,Free,,c27,
38.79,c22,start_desk_B,[c25],"[c26, c28]",[],Free,"(c22, End=43.8)",Free,5.89,,
38.79,c20,leave,[c25],"[c26, c28]",[],Free,Free,Free,,c20,
39.03,c29,Arrive (Q_C),[c25],"[c26, c28]",[c29],Free,Free,Free,,,
39.03,c29,start_desk_C,[c25],"[c26, c28]",[],Free,Free,"(c29, End=40.4)",0.00,,
39.40,c30,Arrive (Q_A),"[c25, c30]","[c26, c28]",[],Free,Free,"(c29, End=40.4)",,,
39.46,c25,start_desk_A,[c30],"[c26, c28]",[],"(c25, End=40.3)",Free,"(c29, End=40.4)",4.13,,
39.46,c24,leave,[c30],"[c26, c28]",[],Free,Free,"(c29, End=40.4)",,c24,
40.27,c30,start_desk_A,[],"[c26, c28]",[],"(c30, End=42.7)",Free,"(c29, End=40.4)",0.88,,
40.27,c25,leave,[],"[c26, c28]",[],Free,Free,"(c29, End=40.4)",,c25,
40.41,c29,leave,[],"[c26, c28]",[],Free,Free,Free,,c29,
41.59,c26,Resign (Q_B),[],[c28],[],Free,Free,Free,,,c26
42.68,c30,leave,[],[c28],[],Free,Free,Free,,c30,
43.31,c31,Arrive (Q_B),[],"[c28, c31]",[],Free,Free,Free,,,
43.52,c32,Arrive (Q_A),[c32],"[c28, c31]",[],Free,Free,Free,,,
43.52,c32,start_desk_A,[],"[c28, c31]",[],"(c32, End=44.4)",Free,Free,0.00,,
43.76,c28,start_desk_B,[],[c31],[],"(c32, End=44.4)","(c28, End=47.1)",Free,5.88,,
43.76,c22,leave,[],[c31],[],"(c32, End=44.4)",Free,Free,,c22,
44.44,c32,leave,[],[c31],[],Free,Free,Free,,c32,
